metric,resource_group
kube_replicationcontroller_status_replicas,replicationcontroller
kube_resourcequota,resourcequota
kube_running_pod_ready,running
kube_secret_info,secret
kube_secret_owner,secret
kube_secret_type,secret
kube_service_info,service
kube_service_spec_external_ip,service
kube_service_spec_type,service
kube_state_metrics_build_info,state
kube_state_metrics_config_hash,state
kube_state_metrics_custom_resource_state_add_events_total,state
kube_state_metrics_custom_resource_state_cache,state
kube_state_metrics_custom_resource_state_delete_events_total,state
kube_state_metrics_last_config_reload_success_timestamp_seconds,state
kube_state_metrics_last_config_reload_successful,state
kube_state_metrics_list_total,state
kube_state_metrics_shard_ordinal,state
kube_state_metrics_total_shards,state
kube_state_metrics_watch_total,state
kube_statefulset_metadata_generation,statefulset
kube_statefulset_persistentvolumeclaim_retention_policy,statefulset
kube_statefulset_replicas,statefulset
kube_statefulset_status_current_revision,statefulset
kube_statefulset_status_observed_generation,statefulset
kube_statefulset_status_replicas,statefulset
kube_statefulset_status_replicas_available,statefulset
kube_statefulset_status_replicas_current,statefulset
kube_statefulset_status_replicas_ready,statefulset
kube_statefulset_status_replicas_updated,statefulset
kube_statefulset_status_update_revision,statefulset
kube_storageclass_info,storageclass
kube_validatingwebhookconfiguration_info,validatingwebhookconfiguration
kube_validatingwebhookconfiguration_webhook_clientconfig_service,validatingwebhookconfiguration
kube_volumeattachment_info,volumeattachment
kube_volumeattachment_labels,volumeattachment
kube_volumeattachment_spec_source_persistentvolume,volumeattachment
kube_volumeattachment_status_attached,volumeattachment
kube_volumeattachment_status_attachment_metadata,volumeattachment
